Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g2_n13	0.085	0.08	0.09
r_g2_n14	0.017	0.01	0.02
r_g2_n15	0.026	0.02	0.03
r_g2_n16	0.014	0.01	0.02
r_g2_n17	0.054	0.05	0.06
r_g2_n18	0.062	0.06	0.07
r_g2_n19	0.046	0.04	0.05
r_g2_n20	0.05	0.05	0.05
r_g2_n21	0.059	0.06	0.06
r_g2_n22	0.06	0.06	0.06
r_g2_n23	0.05	0.05	0.05
r_g2_n24	0.048	0.04	0.06
r_g2_n25	0.065	0.05	0.08
r_g2_n26	0.039	0.03	0.05
r_g2_n27	0.079	0.08	0.08
r_g2_n28	0.071	0.07	0.07
r_g2_n29	0.118	0.11	0.12
r_g2_n30	0.069	0.07	0.07
r_g2_n31	0.08	0.07	0.09
r_g2_n32	0.067	0.06	0.07
r_g2_n33	0.018	0.01	0.02
r_g2_n34	0.053	0.04	0.07
r_g2_n35	0.066	0.06	0.07
r_g2_n36	0.104	0.1	0.11
r_g2_n37	0.121	0.12	0.12
r_g2_n38	0.123	0.12	0.13
r_g2_n39	0.105	0.09	0.12
r_g2_n40	0.169	0.13	0.21
r_g2_n41	0.128	0.1	0.16
r_g2_n42	0.14	0.11	0.17
r_g2_n43	0.174	0.14	0.21
r_g2_n44	0.176	0.13	0.23
r_g2_n45	0.173	0.12	0.23
r_g2_n46	0.169	0.12	0.22
r_g2_n47	0.183	0.13	0.24
r_g2_n48	0.195	0.15	0.25
r_g2_n49	0.071	0.07	0.08
r_g2_n50	0.035	0.03	0.04
r_g2_n51	0.048	0.04	0.06
r_g2_n52	0.069	0.07	0.07
r_g2_n53	0.045	0.04	0.05
r_g2_n54	0.055	0.05	0.07
r_g2_n55	0.052	0.04	0.06
r_g2_n56	0.045	0.04	0.05
r_g2_n57	0.025	0.02	0.03
r_g2_n58	0.022	0.02	0.03
r_g2_n59	0.028	0.02	0.03
r_g2_n60	0.024	0.02	0.03
r_g2_n61	0.02	0.02	0.02
r_g2_n62	0.023	0.02	0.03
r_g2_n63	0.013	0.01	0.02
r_g2_n64	0.029	0.03	0.03
r_g2_n65	0.017	0.01	0.02
r_g2_n66	0.029	0.02	0.04
r_g2_n67	0.032	0.03	0.04
r_g2_n68	0.03	0.03	0.03
r_g2_n69	0.026	0.02	0.03
r_g2_n70	0.02	0.02	0.02
r_g2_n71	0.025	0.02	0.03
r_g2_n72	0.025	0.02	0.03
r_g2_n74	0.129	0.05	0.25
r_g2_n75	0.092	0.07	0.12
r_g2_n76	0.086	0.06	0.12
r_g2_n77	0.156	0.11	0.21
r_g2_n78	0.121	0.09	0.15
r_g2_n79	0.109	0.08	0.14
