Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g2_n110	0.131	0.1	0.17
r_g2_n111	0.164	0.13	0.21
r_g2_n112	0.155	0.12	0.2
r_g2_n113	0.211	0.17	0.27
r_g2_n114	0.115	0.08	0.15
r_g2_n115	0.101	0.08	0.13
r_g2_n116	0.082	0.06	0.12
r_g2_n117	0.115	0.1	0.14
r_g2_n118	0.153	0.12	0.19
r_g2_n119	0.11	0.08	0.14
r_g2_n120	0.093	0.07	0.13
r_g2_n121	0.055	0.04	0.08
r_g2_n122	0.058	0.04	0.08
r_g2_n123	0.056	0.04	0.08
r_g2_n124	0.075	0.05	0.11
r_g2_n125	0.064	0.06	0.08
r_g2_n126	0.06	0.05	0.07
r_g2_n127	0.077	0.05	0.11
r_g2_n128	0.076	0.05	0.11
r_g2_n129	0.063	0.05	0.09
r_g2_n130	0.035	0.03	0.04
r_g2_n131	0.068	0.05	0.1
r_g2_n132	0.066	0.05	0.09
r_g2_n133	0.072	0.05	0.1
r_g2_n134	0.073	0.05	0.1
r_g2_n135	0.058	0.04	0.08
r_g2_n136	0.061	0.04	0.09
r_g2_n137	0.081	0.06	0.11
r_g2_n138	0.08	0.06	0.1
r_g2_n139	0.027	0.02	0.04
r_g2_n140	0.07	0.05	0.1
r_g2_n141	0.054	0.04	0.07
r_g2_n142	0.084	0.06	0.12
r_g2_n143	0.029	0.03	0.04
r_g3_n1	0.053	0.04	0.07
r_g3_n2	0.042	0.04	0.05
r_g3_n3	0.046	0.04	0.06
r_g3_n4	0.055	0.05	0.07
r_g3_n5	0.042	0.04	0.05
r_g3_n6	0.051	0.04	0.06
r_g3_n7	0.075	0.07	0.08
r_g3_n8	0.054	0.05	0.06
r_g3_n9	0.037	0.03	0.04
r_g3_n10	0.089	0.08	0.1
r_g3_n11	0.081	0.08	0.09
r_g3_n12	0.041	0.04	0.04
r_g3_n13	0.064	0.06	0.07
r_g3_n14	0.035	0.03	0.04
r_g3_n15	0.084	0.06	0.11
r_g3_n16	0.031	0.02	0.04
r_g3_n17	0.037	0.03	0.04
r_g3_n18	0.045	0.04	0.05
r_g3_n19	0.037	0.03	0.04
r_g3_n20	0.031	0.03	0.03
r_g3_n21	0.039	0.04	0.04
r_g3_n22	0.036	0.03	0.04
r_g3_n23	0.034	0.03	0.04
r_g3_n24	0.035	0.03	0.04
r_g3_n25	0.072	0.06	0.09
r_g3_n26	0.036	0.03	0.05
r_g3_n27	0.047	0.04	0.05
