Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g2_n36	0.05	0	0.23
r_g2_n37	0.05	0	0.23
r_g2_n38	0.05	0	0.23
r_g2_n39	0.05	0	0.22
r_g2_n40	0.05	0	0.23
r_g2_n41	0.05	0	0.22
r_g2_n42	0.05	0	0.23
r_g2_n43	0.05	0	0.22
r_g2_n44	0.05	0	0.23
r_g2_n45	0.05	0	0.23
r_g2_n46	0.05	0	0.23
r_g2_n47	0.05	0	0.23
r_g2_n48	0.05	0	0.23
r_g2_n49	0.05	0	0.22
r_g2_n50	0.05	0	0.23
r_g2_n51	0.05	0	0.23
r_g2_n52	0.05	0	0.23
r_g2_n53	0.05	0	0.23
r_g2_n54	0.05	0	0.23
r_g2_n55	0.05	0	0.23
r_g2_n56	0.05	0	0.23
r_g2_n57	0.05	0	0.22
r_g2_n58	0.05	0	0.23
r_g2_n59	0.05	0	0.22
r_g2_n60	0.05	0	0.23
r_g2_n61	0.05	0	0.23
r_g2_n62	0.05	0	0.23
r_g2_n63	0.05	0	0.23
r_g2_n64	0.05	0	0.22
r_g2_n65	0.05	0	0.23
r_g2_n66	0.05	0	0.23
r_g2_n67	0.05	0	0.22
r_g2_n68	0.05	0	0.23
r_g2_n69	0.05	0	0.22
r_g2_n70	0.05	0	0.23
r_g2_n71	0.049	0	0.23
r_g2_n72	0.05	0	0.23
r_g2_n74	0.05	0	0.23
r_g2_n75	0.05	0	0.23
r_g2_n76	0.05	0	0.22
r_g2_n77	0.05	0	0.23
r_g2_n78	0.05	0	0.22
r_g2_n79	0.05	0	0.23
r_g2_n80	0.05	0	0.23
r_g2_n81	0.05	0	0.23
r_g2_n82	0.05	0	0.23
r_g2_n83	0.05	0	0.23
r_g2_n84	0.05	0	0.22
r_g2_n85	0.05	0	0.23
r_g2_n86	0.05	0	0.23
r_g2_n87	0.05	0	0.23
r_g2_n88	0.05	0	0.22
r_g2_n89	0.05	0	0.23
r_g2_n90	0.05	0	0.22
r_g2_n91	0.05	0	0.23
r_g2_n92	0.05	0	0.23
r_g2_n93	0.05	0	0.22
r_g2_n94	0.05	0	0.23
r_g2_n95	0.05	0	0.23
r_g2_n96	0.05	0	0.22
r_g2_n97	0.05	0	0.22
r_g2_n98	0.05	0	0.23
r_g2_n99	0.05	0	0.22
r_g2_n100	0.05	0	0.23
r_g2_n101	0.05	0	0.23
r_g2_n102	0.05	0	0.23
r_g2_n103	0.05	0	0.23
r_g2_n104	0.05	0	0.23
r_g2_n105	0.05	0	0.22
r_g2_n106	0.05	0	0.23
r_g2_n107	0.05	0	0.23
r_g2_n108	0.05	0	0.22
r_g2_n109	0.05	0	0.22
r_g2_n110	0.05	0	0.22
r_g2_n111	0.05	0	0.22
r_g2_n112	0.05	0	0.23
r_g2_n113	0.05	0	0.23
r_g2_n114	0.05	0	0.23
r_g2_n115	0.05	0	0.23
r_g2_n116	0.05	0	0.23
r_g2_n117	0.05	0	0.23
r_g2_n118	0.05	0	0.23
r_g2_n119	0.05	0	0.23
r_g2_n120	0.05	0	0.23
r_g2_n121	0.05	0	0.23
r_g2_n122	0.05	0	0.23
r_g2_n123	0.05	0	0.23
r_g2_n124	0.05	0	0.23
r_g2_n125	0.05	0	0.23
r_g2_n126	0.05	0	0.23
r_g2_n127	0.05	0	0.23
r_g2_n128	0.05	0	0.23
r_g2_n129	0.05	0	0.23
r_g2_n130	0.05	0	0.23
r_g2_n131	0.05	0	0.23
r_g2_n132	0.05	0	0.23
r_g2_n133	0.05	0	0.23
r_g2_n134	0.05	0	0.23
r_g2_n135	0.05	0	0.23
r_g2_n136	0.05	0	0.23
r_g2_n137	0.05	0	0.22
r_g2_n138	0.05	0	0.23
r_g2_n139	0.05	0	0.23
r_g2_n140	0.05	0	0.23
r_g2_n141	0.05	0	0.23
r_g2_n142	0.05	0	0.23
r_g2_n143	0.05	0	0.23
r_g3_n1	0.051	0	0.22
r_g3_n2	0.051	0	0.22
r_g3_n3	0.051	0	0.22
r_g3_n4	0.051	0	0.22
r_g3_n5	0.051	0	0.22
r_g3_n6	0.051	0	0.23
r_g3_n7	0.051	0	0.22
r_g3_n8	0.051	0	0.22
r_g3_n9	0.051	0	0.22
r_g3_n10	0.051	0	0.22
r_g3_n11	0.051	0	0.22
r_g3_n12	0.051	0	0.23
r_g3_n13	0.051	0	0.22
r_g3_n14	0.051	0	0.22
r_g3_n15	0.051	0	0.22
r_g3_n16	0.051	0	0.22
r_g3_n17	0.051	0	0.22
r_g3_n18	0.051	0	0.22
r_g3_n19	0.051	0	0.23
r_g3_n20	0.051	0	0.22
r_g3_n21	0.051	0	0.22
r_g3_n22	0.051	0	0.22
r_g3_n23	0.051	0	0.22
r_g3_n24	0.051	0	0.22
r_g3_n25	0.051	0	0.22
r_g3_n26	0.051	0	0.22
r_g3_n27	0.051	0	0.22
r_g3_n28	0.051	0	0.22
r_g3_n29	0.051	0	0.22
r_g3_n30	0.051	0	0.22
r_g3_n31	0.051	0	0.22
r_g3_n32	0.051	0	0.22
r_g3_n33	0.051	0	0.22
r_g3_n34	0.051	0	0.22
r_g3_n35	0.051	0	0.22
r_g3_n36	0.051	0	0.22
r_g3_n37	0.051	0	0.22
r_g3_n38	0.051	0	0.22
r_g3_n39	0.051	0	0.22
r_g3_n40	0.051	0	0.22
r_g3_n41	0.051	0	0.22
r_g3_n42	0.051	0	0.22
r_g3_n43	0.051	0	0.22
r_g3_n44	0.051	0	0.22
