Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g4_n24	0.082	0	0.33
r_g4_n25	0.082	0	0.33
r_g4_n26	0.082	0	0.33
r_g4_n27	0.083	0	0.33
r_g4_n28	0.083	0	0.34
r_g4_n29	0.083	0	0.34
r_g4_n30	0.083	0	0.33
r_g4_n31	0.083	0	0.34
r_g4_n32	0.083	0	0.34
r_g4_n33	0.083	0	0.34
r_g4_n34	0.083	0	0.34
r_g4_n35	0.083	0	0.34
r_g4_n36	0.083	0	0.34
r_g4_n37	0.083	0	0.34
r_g4_n38	0.083	0	0.34
r_g4_n39	0.083	0	0.34
r_g4_n40	0.082	0	0.34
r_g4_n41	0.082	0	0.34
r_g4_n42	0.082	0	0.34
r_g4_n43	0.082	0	0.34
r_g4_n44	0.083	0	0.34
r_g4_n45	0.083	0	0.34
r_g4_n46	0.083	0	0.34
r_g4_n47	0.083	0	0.34
r_g4_n48	0.083	0	0.34
r_g4_n49	0.082	0	0.33
r_g4_n50	0.083	0	0.34
r_g4_n51	0.083	0	0.34
r_g4_n52	0.083	0	0.33
r_g4_n53	0.082	0	0.33
r_g4_n54	0.082	0	0.33
r_g4_n55	0.082	0	0.34
r_g4_n56	0.082	0	0.33
r_g4_n57	0.082	0	0.33
r_g4_n58	0.082	0	0.33
r_g4_n59	0.082	0	0.33
r_g4_n60	0.082	0	0.33
r_g4_n61	0.082	0	0.33
r_g4_n62	0.082	0	0.33
r_g4_n63	0.082	0	0.33
r_g4_n64	0.082	0	0.33
r_g4_n65	0.082	0	0.33
r_g4_n66	0.082	0	0.33
r_g4_n67	0.082	0	0.33
r_g4_n68	0.082	0	0.33
r_g4_n69	0.082	0	0.33
r_g4_n70	0.082	0	0.33
r_g4_n71	0.082	0	0.33
r_g4_n72	0.082	0	0.33
r_g4_n74	0.08	0	0.3
r_g4_n75	0.081	0	0.32
r_g4_n76	0.08	0	0.32
r_g4_n77	0.082	0	0.32
r_g4_n78	0.083	0	0.33
r_g4_n79	0.083	0	0.33
r_g4_n80	0.083	0	0.33
r_g4_n81	0.083	0	0.33
r_g4_n82	0.083	0	0.33
r_g4_n83	0.083	0	0.33
r_g4_n84	0.083	0	0.33
r_g4_n85	0.083	0	0.33
r_g4_n86	0.083	0	0.33
r_g4_n87	0.083	0	0.33
r_g4_n88	0.083	0	0.33
r_g4_n89	0.083	0	0.33
r_g4_n90	0.083	0	0.33
r_g4_n91	0.083	0	0.33
r_g4_n92	0.083	0	0.33
r_g4_n93	0.083	0	0.33
r_g4_n94	0.083	0	0.33
r_g4_n95	0.082	0	0.33
r_g4_n96	0.082	0	0.33
r_g4_n97	0.082	0	0.33
r_g4_n98	0.082	0	0.33
r_g4_n99	0.083	0	0.33
r_g4_n100	0.083	0	0.33
r_g4_n101	0.083	0	0.33
r_g4_n102	0.083	0	0.33
r_g4_n103	0.083	0	0.33
r_g4_n104	0.083	0	0.33
r_g4_n105	0.083	0	0.33
r_g4_n106	0.083	0	0.33
r_g4_n107	0.083	0	0.33
r_g4_n108	0.083	0	0.34
r_g4_n109	0.083	0	0.34
r_g4_n110	0.083	0	0.33
r_g4_n111	0.083	0	0.33
r_g4_n112	0.083	0	0.33
r_g4_n113	0.083	0	0.33
r_g4_n114	0.082	0	0.34
r_g4_n115	0.082	0	0.34
r_g4_n116	0.082	0	0.34
r_g4_n117	0.082	0	0.34
r_g4_n118	0.082	0	0.34
r_g4_n119	0.082	0	0.34
r_g4_n120	0.083	0	0.34
r_g4_n121	0.083	0	0.33
r_g4_n122	0.083	0	0.33
r_g4_n123	0.083	0	0.33
r_g4_n124	0.083	0	0.33
r_g4_n125	0.083	0	0.33
r_g4_n126	0.082	0	0.33
r_g4_n127	0.082	0	0.33
r_g4_n128	0.082	0	0.33
r_g4_n129	0.082	0	0.33
r_g4_n130	0.082	0	0.33
r_g4_n131	0.082	0	0.33
r_g4_n132	0.082	0	0.33
r_g4_n133	0.082	0	0.33
r_g4_n134	0.082	0	0.33
r_g4_n135	0.082	0	0.33
r_g4_n136	0.082	0	0.33
r_g4_n137	0.082	0	0.33
r_g4_n138	0.082	0	0.33
r_g4_n139	0.082	0	0.33
r_g4_n140	0.082	0	0.33
r_g4_n141	0.082	0	0.33
r_g4_n142	0.082	0	0.33
r_g4_n143	0.082	0	0.33
